Klapa Resort,Bali,960.480,8.7,https://origin.pegipegi.com/jalan/images/pictS/Y5/Y921895/Y921895085.jpg,"Klapa Resort terletak di lapangan golf 5 dan dekat dengan pantai pasir putih yang terkenal dari pantai Balangan, dan hanya beberapa menit dari kuil Uluwatu. Menawarkan 125 kamar ultra modern dan bergaya memberikan pemandangan laut dan pemandangan lapangan golf yang indah. Dan dilengkapi dengan pool bar, gym, restoran dan lain-lain."
Kuta Central Park Hotel,Bali,264.000,8.5,https://origin.pegipegi.com/jalan/images/pictS/Y8/Y954458/Y954458080.jpg,"Terletak strategis di jalan Utama di Kuta, Kuta Central Park Hotel pasti akan mengakomodasi wisatawan bisnis maupun wisatawan yang mencari sebuah hotel yang nyaman dan mewah yang terasa seperti rumah. Kuta Central Park Hotel juga menawarkan banyak fasilitas untuk memperkaya penginapan Anda di Kuta. "
Kuta Majesty Hotel By Urban Styles,Bali,217.378,9.6,https://origin.pegipegi.com/jalan/images/pictS/Y2/Y957382/Y957382001.jpg,"Kuta Majesty Hotel By Urban Styles sebuah penginapan yang berlokasi di Jalan Raya Kuta No. 78, Kuta, Bali. Dengan kondisi lingkungan yang bersih dan nyaman, cocok bagi Anda yang akan berlibur bersama keluarga atau pasangan. Lokasi yang strategis sehingga mudah untuk diakses, dan harga yang terjangkau bisa menjadi pilihan akomodasi perjalanan Anda."
L Amore Hotel Seminyak,Bali,177.408,8.4,https://origin.pegipegi.com/jalan/images/pictS/Y6/Y943056/Y943056090.jpg,"L'amore Hotel Seminyak terletak di Seminyak di Daerah Bali, 2,2 km dari The Seminyak Square Shopping Mall. Terdapat juga taman air dan Anda juga dapat menikmati minuman di bar yang tersedia di penginapan. Menawarkan kolam renang outdoor, Semua kamar dilengkapi TV layar datar dengan saluran satelit. Kamar mandi pribad, Beberapa unit kamar menyediakan area tempat duduk dimana Anda dapat bersantai."
Lavarta Hotel,Bali,132.405,7.0,https://origin.pegipegi.com/jalan/images/pictS/Y0/Y938490/Y938490007.jpg,"Lavarta Hotel adalah sebuah hunian yang berlokasi di Bali. Suasana hunian yang nyaman dan bersih, sangat cocok bagi Anda yang akan berlibur, atau mengadakan kunjungan bisnis. Lokasi hunian yang strategis, sehingga mudah untuk diakses. Serta harga yang terjangkau, bisa menjadi pilihan akomodasi perjalanan Anda."
Le Grande Bali,Bali,535.920,8.6,https://origin.pegipegi.com/jalan/images/pictS/Y9/Y930249/Y930249059.jpg,"Le Grande - Bali, Terletak di tengah New Kuta Golf, didalam kompleks Resor Pecatu Indah adalah sebuah penawaran layanan penuh yang menyediakan segalanya dari ketenangan sampai ke peremajaan. Hotel yang luar biasa ini mengutamakan layanan yang efisien dengan keramahan yang memastikan anda untuk mengalami pengalaman yang berkesan. pantai dreamland hanya berjarak 5 menit dengan berkendara."
Losari Sunset Hotel,Bali,185.328,8.4,https://origin.pegipegi.com/jalan/images/pictS/Y6/Y981556/Y981556135.jpg,"Terletak di Sunset Road yang strategis dan populer, Losari Sunset menyediakan kamar-kamar yang menampilkan desain interior modern sehingga tercipta suasana yang nyaman dan bersih. Setiap kamar dilengkapi dengan AC, telepon SLI, televisi, shower dengan air panas dan dingin, air mineral gratis, film, pembuat teh & kopi dan pengering rambut."
Mercure Kuta Bali,Bali,958.320,8.6,https://d1nabgopwop1kh.cloudfront.net/v2/hotel-asset/guys1L+Yyer9kzI3sp/pb0CG1j2bhflZGFUZOoIf1YMAPxdns1/9rJ+BHEJCrKdz6LqwkXZuiE42qoA91xJccM31J1Jyr6bOgSI+h1gCZ9DlaDZ9EaeO+r4UkUAxdvbzbqNec2MG5ZjdWWj7nTawOrMCZcc0l2o1PF4gd8bPXGN9noROYwzGZMsJZ3oxaOT5rmjMMG4HlrveBMSZIstfkg==,
Natya Hotel Kuta,Bali,212.040,8.8,https://origin.pegipegi.com/jalan/images/pictS/Y6/Y901496/Y901496014.jpg,"Terletak hanya 10 menit dari Bandara Internasional ""Ngurah Rai"" Bali, Natya Hotel dekat dengan Pantai Kuta yang terkenal dengan pantai berpasir putih, sepanjang hari hiburan, pasar lokal dan banyak pengunjung yang datang dari seluruh dunia "
Negara Hotel,Bali,294.800,8.3,https://origin.pegipegi.com/jalan/images/pictS/Y4/Y900534/Y900534005.jpg,"Sebuah hunian yang nyaman, bersih, dan desain yang minimalis. Negara Hotel menawarkan pelayanan yang istimewa dan fasilitas yang akan membuat pengalaman menginap Anda tidak terlupakan, seperti Wi-Fi gratis di semua kamar, TV, AC, restoran, layanan kebersihan, resepsionis yang ramah, Wi-fi di tempat umum dan tempat parkir yang menjamin kenyamanan bagi Anda semua."
